num,brewery,state,name,abv,style,desc,section
1.0,Clifton Hill Brewing,VIC,HONEY GUM (RED IPA),7.0,Red IPA,"A toffee- like biscuity aroma gives way to caramel driven flavors, Red gum Honey delivers moderately sweet eucalyptus flavors as a dark fruit malt character pays tribute to the intense tropical and stonefruit hop profile. This red finishes smoothly with a hint of roasted malt",1
2.0,Brewmanity Beer Co,VIC,Choc à l'orange,7.0,Imperial Stout,A selection of the finest after dinner choc orange confectionaries rolled into a creamy stout.,1
3.0,Six String Brewing Co,NSW,Spaghetti Saison,5.0,Saison/Farmhouse Ale,"Basil & Peppercorn Saison Bright and pungent, with a basil-forward, herbaceous garden aroma suspended with the delicate presence of citrus, pepper, and clove. Sweet, savoury & refreshing. Light in body, dry in finish, perfectly al dente!",1
4.0,The Brew Baron Beer Co.,QLD,Cocoa Comet,7.0,Porter,"A hot chocolate drink for adults only! Brewed for the serious chocoholic, a sweet, cocoa nibbed rich Porter, giving a silky smooth mouth feel and a full body. Health Warning: can be addictive.",1
5.0,8 Wired,NZ,Crumbs - Imperial Cookie Stout,10.0,Imperial Stout,"Crumbs Imperial Cookie Stout is the rebellious love child of a midnight baker and a beach-loving coconut. It's the beer equivalent of licking the bowl after making cookies – only if that bowl also had hazelnuts, oats, and a dash of mischief. Sip, savour, and embrace the delicious chaos of crumbs. You won't need a trail to find your way back to this one.",1
6.0,Aetheon Brewing,WA,Unlikely Friends,7.8,Specialty Beer,"It's not a GABS without weird sounding beers. Enter Unlikely Friends a Matcha and White Chocolate White Stout, what a mouthful! We've done white stouts, and we've used matcha but now we want to combine them into one glorious creation. It'll be weird, it'll be fun and it'll be green and to us that's what GABS is all about.",1
7.0,Red Duck,VIC,White Forest,5.6,Cream Ale,"Treat yourself to a gulp of heaven - succulent cherries and creamy white chocolate, harmoniously blended into a dreamy cream ale!",1
8.0,Akasha Brewing Co.,NSW,Dank & Stormy,5.8,American Amber/Red,"Starting life as an Amber ale, this cocktail inspired delight has some ginger fire within. We have combined dank hops, ginger and a love of puns to create warming, aromatic masterpiece. Serve with lime or add rum to strengthen the connection to the classic refresher",1
9.0,Canobolas Brewing Co,NSW,Screamin' Peach,4.0,Fruit Beer,We took our delicious wheat beer base and added a heaping pile of peaches and high scoville cayenne pepper straight into the whirlpool to make an exciting rollercoaster of flavour. With every sweet sip your tastebuds will come screaming for another delicious sip.,1
10.0,Wandana Brewing Co,NSW,Funky Gose To Hollywood,6.0,Gose Sour,"Ingredients; Malt Hops Deep Purple Water Black Berries Yeast A refreshing Blackberry Gose Sour, fermented 24/7 to the sound vibrations of Deep Purple.",1
11.0,Jetty Road Brewery,VIC,Old Mate,7.0,Irish Amber/Red,"Rum old fashioned meets amber ale, toffee, vanilla and zesty orange.",1
12.0,King River Brewing,VIC,King River Double Red IPA,8.5,Red IPA,"We have taken our best selling King River Red IPA and turned it up to 11! We put together a cranked up malt & hop bill to really enhance those big passionfruit, grapefruit and citrus notes. This is a beer for the flavour hunters.",1
