Section,Number,Brewery,Beer,Style,Description,Anticipation,Anticipation notes,Reality,Reality notes
1,1,Dad & Dave,Boba Beer,Sour,Tart Grapefruit Beliner Weisse infused with Jasmine Green Tea.,5,"Weird, but probs boring",,
1,2,The Coastal Brewing Company,Homestead Blackberry and Apple Pastry Sour,Specialty,Perfect for an autumn or winter evening bringing crumble to a glass!,6,Will have if nothing else,,
1,3,7th Day Brewery,Suit Up,IPA Black,Choc & raisins mingle with piney resin and citric floral hops.,7,Sounds good,,
1,4,Six String Brewing Co,Whiskey in the jar,Wood Aged Beer,"A barrel aged, American-Style Imperial Stout.",8,Yep,,
1,5,The Marsden Brewhouse,Marsden Neopolitan Porter,Stout Tropical,"Just like the ice cream, Berry - Vanilla - Chocolate!",10,"Weird stout, no way I'm not",,
1,6,The Mill Brewery,Go! Go! Ichigo!,Sour,Umami! Salty! Strawberry! Sour!,6,"I've had bad experience with salty sour before, so probs not, but... maybe",,
1,7,Hop Nation Brewing Co,Market 2023,NEIPA,"Kaffir lime leaf, mango, coriander, Vietnamese mint and chilli!",8,Banh mi neipa? Yes please,,
1,8,Bad Shepherd Brewing Co,Barrel Aged Rum Double Choc Brown Ale,Specialty,"Real hazelnuts, vanilla, cocoa, Jimmy Rum and Frangelico.",7,"I already have one, but, nutella beer?",,
1,9,Yenda Brewing Co,I am Weiss,Wheat,The fruitiness of raspberries pack a zingy punch.,3,Pass,,
1,10,B.O.B,"Tim, Tam & Tom",Brown,Classical British Ale with Tim Tams.,6,"Sounds good, if boring (high potential upside depending on chocolatude)",,
1,11,The Zythologist,Molecular Bubble Tea IPA,IPA Milkshake,"Purple taro,milk sugar, brown sugar, tapioca, wheat and oats.",7,Now this is boba,,
1,12,Sauce Brewing Co,Lavender Cheesecake,Sour,"Rich desert sour, delicate lavender aromas & cheesy twist.",7,"Sounds awesome, but lavender is literally toilet smell",,
1,13,St Andrews Beach Brewery,SAB Lite,Lager,"Classic malt profile of pilsner malt, rice and corn.",0,lol nope,,
1,14,Local Brewing Co,Don't Go Baking My Heart',Stout,Crafted with passion & heart using scrolls from a local bakery.,8,Might be boring? Will risk,,
1,15,Feral Brewing Co,Cherry Maguire,Sour,Fluffy pastry and vanilla crisscrossing like a classic cherry pie.,8,Tom Cruise,,
1,16,Urban Alley Brewery,The Taverner - All Brut Low Glut,IPA White,Talus & Citra craft layered waves of tropical fruit.,6,"Glad it exists, I don't want it",,
